"GTFS.Stop.ID","Station.ID","Line","Stop.Name","Borough","GTFS.Latitude","GTFS.Longitude","Georeference"
"S01",139,"Franklin Shuttle","Franklin Av","Bk",40.680596,-73.955827,"POINT (-73.955827 40.680596)"
"254",349,"Eastern Pky","Junius St","Bk",40.663515,-73.902447,"POINT (-73.902447 40.663515)"
"M11",97,"Jamaica","Myrtle Av","Bk",40.697207,-73.935657,"POINT (-73.935657 40.697207)"
"F33",248,"6th Av - Culver","Avenue N","Bk",40.61514,-73.974197,"POINT (-73.974197 40.61514)"
"233",336,"Eastern Pky","Hoyt St","Bk",40.690545,-73.985065,"POINT (-73.985065 40.690545)"
"R43",37,"4th Av","77 St","Bk",40.629742,-74.02551,"POINT (-74.02551 40.629742)"
"F39",253,"6th Av - Culver","Neptune Av","Bk",40.581011,-73.974574,"POINT (-73.974574 40.581011)"
"N09",78,"Sea Beach","Avenue U","Bk",40.597473,-73.979137,"POINT (-73.979137 40.597473)"
"F32",247,"6th Av - Culver","Bay Pkwy","Bk",40.620769,-73.975264,"POINT (-73.975264 40.620769)"
"B22",69,"West End","25 Av","Bk",40.597704,-73.986829,"POINT (-73.986829 40.597704)"
"M16",101,"Jamaica","Marcy Av","Bk",40.708359,-73.957757,"POINT (-73.957757 40.708359)"
"A41",174,"8th Av - Fulton St","Jay St-MetroTech","Bk",40.692338,-73.987342,"POINT (-73.987342 40.692338)"
"R39",33,"4th Av","45 St","Bk",40.648939,-74.010006,"POINT (-74.010006 40.648939)"
"A52",185,"8th Av - Fulton St","Liberty Av","Bk",40.674542,-73.896548,"POINT (-73.896548 40.674542)"
"G34",290,"Crosstown","Classon Av","Bk",40.688873,-73.96007,"POINT (-73.96007 40.688873)"
"D30",46,"Broadway - Brighton","Cortelyou Rd","Bk",40.640927,-73.963891,"POINT (-73.963891 40.640927)"
"B18",65,"West End","79 St","Bk",40.613501,-74.00061,"POINT (-74.00061 40.613501)"
"G29",285,"Crosstown","Metropolitan Av","Bk",40.712792,-73.951418,"POINT (-73.951418 40.712792)"
"A51",184,"8th Av - Fulton St","Broadway Junction","Bk",40.678334,-73.905316,"POINT (-73.905316 40.678334)"
"246",358,"Nostrand","Newkirk Av-Little Haiti","Bk",40.639967,-73.948411,"POINT (-73.948411 40.639967)"
"L15",126,"Canarsie","Jefferson St","Bk",40.706607,-73.922913,"POINT (-73.922913 40.706607)"
"J22",89,"Jamaica","Cleveland St","Bk",40.679947,-73.884639,"POINT (-73.884639 40.679947)"
"A57",189,"Liberty Av","Grant Av","Bk",40.677044,-73.86505,"POINT (-73.86505 40.677044)"
"D34",50,"Broadway - Brighton","Avenue M","Bk",40.617618,-73.959399,"POINT (-73.959399 40.617618)"
"238",341,"Eastern Pky","Eastern Pkwy-Brooklyn Museum","Bk",40.671987,-73.964375,"POINT (-73.964375 40.671987)"
"D29",45,"Broadway - Brighton","Beverley Rd","Bk",40.644031,-73.964492,"POINT (-73.964492 40.644031)"
"N08",77,"Sea Beach","Kings Hwy","Bk",40.603923,-73.980353,"POINT (-73.980353 40.603923)"
"L10",121,"Canarsie","Lorimer St","Bk",40.714063,-73.950275,"POINT (-73.950275 40.714063)"
"A46",179,"8th Av - Fulton St","Nostrand Av","Bk",40.680438,-73.950426,"POINT (-73.950426 40.680438)"
"N03",72,"Sea Beach","Fort Hamilton Pkwy","Bk",40.631386,-74.005351,"POINT (-74.005351 40.631386)"
"M10",114,"Myrtle Av","Central Av","Bk",40.697857,-73.927397,"POINT (-73.927397 40.697857)"
"242",354,"Nostrand","Sterling St","Bk",40.662742,-73.95085,"POINT (-73.95085 40.662742)"
"F22",238,"6th Av - Culver","Smith-9 Sts","Bk",40.67358,-73.995959,"POINT (-73.995959 40.67358)"
"R30",26,"Broadway - Brighton","DeKalb Av","Bk",40.690635,-73.981824,"POINT (-73.981824 40.690635)"
"L24",133,"Canarsie","Atlantic Av","Bk",40.675345,-73.903097,"POINT (-73.903097 40.675345)"
"R29",25,"Broadway","Jay St-MetroTech","Bk",40.69218,-73.985942,"POINT (-73.985942 40.69218)"
"234",337,"Eastern Pky","Nevins St","Bk",40.688246,-73.980492,"POINT (-73.980492 40.688246)"
"L25",134,"Canarsie","Sutter Av","Bk",40.669367,-73.901975,"POINT (-73.901975 40.669367)"
"D24",40,"Broadway - Brighton","Atlantic Av-Barclays Ctr","Bk",40.68446,-73.97689,"POINT (-73.97689 40.68446)"
"F27",243,"6th Av - Culver","Church Av","Bk",40.644041,-73.979678,"POINT (-73.979678 40.644041)"
"D42",57,"Broadway - Brighton","W 8 St-NY Aquarium","Bk",40.576127,-73.975939,"POINT (-73.975939 40.576127)"
"F34",249,"6th Av - Culver","Avenue P","Bk",40.608944,-73.973022,"POINT (-73.973022 40.608944)"
"B21",68,"West End","Bay Pkwy","Bk",40.601875,-73.993728,"POINT (-73.993728 40.601875)"
"255",350,"Eastern Pky","Pennsylvania Av","Bk",40.664635,-73.894895,"POINT (-73.894895 40.664635)"
"G30",286,"Crosstown","Broadway","Bk",40.706092,-73.950308,"POINT (-73.950308 40.706092)"
"D38",53,"Broadway - Brighton","Neck Rd","Bk",40.595246,-73.955161,"POINT (-73.955161 40.595246)"
"R42",36,"4th Av","Bay Ridge Av","Bk",40.634967,-74.023377,"POINT (-74.023377 40.634967)"
