"GTFS.Stop.ID","Station.ID","Line","Stop.Name","Borough","Georeference","Zipcode"
"233",336,"Eastern Pky","Hoyt St","Bk","POINT (-73.985065 40.690545)","11201"
"A41",174,"8th Av - Fulton St","Jay St-MetroTech","Bk","POINT (-73.987342 40.692338)","11201"
"R30",26,"Broadway - Brighton","DeKalb Av","Bk","POINT (-73.981824 40.690635)","11201"
"R29",25,"Broadway","Jay St-MetroTech","Bk","POINT (-73.985942 40.69218)","11201"
"A40",173,"8th Av - Fulton St","High St","Bk","POINT (-73.990531 40.699337)","11201"
"423",415,"Eastern Pky","Borough Hall","Bk","POINT (-73.990151 40.692404)","11201"
"F20",236,"6th Av - Culver","Bergen St","Bk","POINT (-73.990862 40.686145)","11201"
"231",334,"Clark St","Clark St","Bk","POINT (-73.993086 40.697466)","11201"
"A42",175,"8th Av - Fulton St","Hoyt-Schermerhorn Sts","Bk","POINT (-73.985001 40.688484)","11201"
"232",335,"Clark St","Borough Hall","Bk","POINT (-73.989998 40.693219)","11201"
"F18",235,"6th Av - Culver","York St","Bk","POINT (-73.986751 40.701397)","11201"
"R28",24,"Broadway","Court St","Bk","POINT (-73.991777 40.6941)","11201"
"F34",249,"6th Av - Culver","Avenue P","Bk","POINT (-73.973022 40.608944)","11204"
"N05",74,"Sea Beach","18 Av","Bk","POINT (-73.990414 40.620671)","11204"
"N06",75,"Sea Beach","20 Av","Bk","POINT (-73.985026 40.61741)","11204"
"N07",76,"Sea Beach","Bay Pkwy","Bk","POINT (-73.981848 40.611815)","11204"
"G33",289,"Crosstown","Bedford-Nostrand Avs","Bk","POINT (-73.953522 40.689627)","11205"
"G35",291,"Crosstown","Clinton-Washington Avs","Bk","POINT (-73.966839 40.688089)","11205"
"M11",97,"Jamaica","Myrtle Av","Bk","POINT (-73.935657 40.697207)","11206"
"G30",286,"Crosstown","Broadway","Bk","POINT (-73.950308 40.706092)","11206"
"L14",125,"Canarsie","Morgan Av","Bk","POINT (-73.933147 40.706152)","11206"
"G31",287,"Crosstown","Flushing Av","Bk","POINT (-73.950234 40.700377)","11206"
"L12",123,"Canarsie","Grand St","Bk","POINT (-73.94067 40.711926)","11206"
"M13",99,"Jamaica","Lorimer St","Bk","POINT (-73.947408 40.703869)","11206"
"L13",124,"Canarsie","Montrose Av","Bk","POINT (-73.93985 40.707739)","11206"
"G32",288,"Crosstown","Myrtle-Willoughby Avs","Bk","POINT (-73.949046 40.694568)","11206"
"M12",98,"Jamaica","Flushing Av","Bk","POINT (-73.941126 40.70026)","11206"
"A52",185,"8th Av - Fulton St","Liberty Av","Bk","POINT (-73.896548 40.674542)","11207"
"L24",133,"Canarsie","Atlantic Av","Bk","POINT (-73.903097 40.675345)","11207"
"255",350,"Eastern Pky","Pennsylvania Av","Bk","POINT (-73.894895 40.664635)","11207"
"J23",90,"Jamaica","Van Siclen Av","Bk","POINT (-73.891688 40.678024)","11207"
