ZIPCODE,total_amenities,clinic,dentist,doctors,hospital,pharmacy,social_facility,clinic_prop,dentist_prop,doctors_prop,hospital_prop,pharmacy_prop,social_facility_prop
11201,61,12,14,12,0,16,7,0.19672131147540983,0.22950819672131148,0.19672131147540983,0.0,0.26229508196721313,0.11475409836065574
11203,2,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.5,0.5
11204,16,5,2,3,0,5,1,0.3125,0.125,0.1875,0.0,0.3125,0.0625
11205,12,4,2,1,0,5,0,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.0,0.4166666666666667,0.0
11206,11,2,0,1,0,6,2,0.18181818181818182,0.0,0.09090909090909091,0.0,0.5454545454545454,0.18181818181818182
11207,4,1,0,1,0,2,0,0.25,0.0,0.25,0.0,0.5,0.0
11208,2,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1.0,0.0
11209,37,4,9,12,1,10,1,0.10810810810810811,0.24324324324324326,0.32432432432432434,0.02702702702702703,0.2702702702702703,0.02702702702702703
11210,2,0,1,0,0,1,0,0.0,0.5,0.0,0.0,0.5,0.0
11211,16,0,6,2,0,8,0,0.0,0.375,0.125,0.0,0.5,0.0
11212,7,1,0,0,0,5,1,0.14285714285714285,0.0,0.0,0.0,0.7142857142857143,0.14285714285714285
11213,3,1,0,0,0,2,0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0
11214,19,2,3,4,2,8,0,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.10526315789473684,0.42105263157894735,0.0
11215,91,9,31,26,0,13,12,0.0989010989010989,0.34065934065934067,0.2857142857142857,0.0,0.14285714285714285,0.13186813186813187
11216,19,2,5,1,0,10,1,0.10526315789473684,0.2631578947368421,0.05263157894736842,0.0,0.5263157894736842,0.05263157894736842
11217,58,3,16,16,0,10,13,0.05172413793103448,0.27586206896551724,0.27586206896551724,0.0,0.1724137931034483,0.22413793103448276
11218,30,2,5,9,0,11,3,0.06666666666666667,0.16666666666666666,0.3,0.0,0.36666666666666664,0.1
11219,5,0,1,0,0,3,1,0.0,0.2,0.0,0.0,0.6,0.2
11220,24,3,1,3,0,14,3,0.125,0.041666666666666664,0.125,0.0,0.5833333333333334,0.125
11221,6,1,1,0,0,3,1,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5,0.16666666666666666
11222,10,1,0,2,0,7,0,0.1,0.0,0.2,0.0,0.7,0.0
11223,12,5,0,1,1,5,0,0.4166666666666667,0.0,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.0
11224,5,3,1,0,0,1,0,0.6,0.2,0.0,0.0,0.2,0.0
11225,11,2,1,2,0,3,3,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.0,0.2727272727272727,0.2727272727272727
11226,9,2,4,1,0,2,0,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.0,0.2222222222222222,0.0
11228,3,1,0,1,0,1,0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
11229,15,1,6,1,3,4,0,0.06666666666666667,0.4,0.06666666666666667,0.2,0.26666666666666666,0.0
11230,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0
11231,17,2,8,3,0,3,1,0.11764705882352941,0.47058823529411764,0.17647058823529413,0.0,0.17647058823529413,0.058823529411764705
11232,6,0,2,0,0,1,3,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.5
11233,3,0,0,1,0,1,1,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
11234,3,1,0,0,0,1,1,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
11235,19,1,6,5,1,5,1,0.05263157894736842,0.3157894736842105,0.2631578947368421,0.05263157894736842,0.2631578947368421,0.05263157894736842
11236,3,0,0,0,0,3,0,0.0,0.0,0.0,0.0,1.0,0.0
11237,9,1,0,2,0,6,0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.6666666666666666,0.0
11238,34,3,10,5,0,7,9,0.08823529411764706,0.29411764705882354,0.14705882352941177,0.0,0.20588235294117646,0.2647058823529412
11249,7,2,0,1,2,2,0,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0
