,ZIPCODE,TOTAL_POP_20PCT,POP_16_OVER_20PCT,COMMUTERS_BY_PUBLIC_TRANSPORTATION_20PCT
0,11201,75388,63859,29153
1,11203,90541,73586,24714
2,11204,92374,68521,19427
3,11205,55277,41674,15094
4,11206,106019,79322,29094
5,11207,110366,86646,30476
6,11208,118392,89560,31123
7,11209,81371,67712,23306
8,11210,80448,61499,19961
9,11211,123149,94598,38729
10,11212,91832,73793,21449
11,11213,79554,63337,22426
12,11214,111535,90187,29670
13,11215,84187,67746,33061
14,11216,67570,58439,27076
15,11217,49688,41471,19681
16,11218,89410,66354,24270
17,11219,108043,72265,15434
18,11220,114772,89804,31577
19,11221,100602,82655,33241
20,11222,43790,39270,18184
21,11223,98147,76373,22697
22,11224,56048,46190,11020
23,11225,70658,59201,27023
24,11226,120332,95905,41778
25,11228,53993,44203,11395
26,11229,100338,81212,22831
27,11230,106890,80046,21600
28,11231,45414,35852,14665
29,11232,33122,26722,11060
30,11233,92183,71718,27926
31,11234,114799,92093,22799
32,11235,93754,78151,20177
33,11236,120397,96598,31548
34,11237,59172,48101,21520
35,11238,65448,56089,27229
36,11239,15893,13078,3271
