ZIPCODE,LAT,LON,min_dist_transport,avg_dist_transport,count_0.5_transport,count_1_transport,count_5_transport,avg_dist_bicycle_parking,avg_dist_car_sharing,avg_dist_fuel,avg_dist_parking,avg_dist_train_station,avg_dist_parking_space,avg_dist_taxi,avg_dist_car_rental,avg_dist_parking_entrance,avg_dist_car_wash,avg_dist_charging_station,avg_dist_bicycle_rental,avg_dist_bicycle_repair_station,avg_dist_bus_station,TOTAL_POP,POP_16_OVER,COMMUTERS_BY_PUBLIC_TRANSPORTATION
11201,40.69481171953551,-73.99012410827594,0.0032336234722471,0.5963551769813412,119.0,317.0,348.0,0.6173552650962573,,,0.9025411021377284,0.4357017272665513,,,0.5168028328187105,0.6123464995703058,,0.4203368894574688,0.4577806141922416,,0.5814070853318133,62823,53216,24294
11203,40.64956881107385,-73.93432701825607,0.5654360901710693,1.0038257949461962,0.0,2.0,3.0,1.5340217376477687,,0.9120195570197502,,,,,,,0.5654360901710693,,,,,75451,61322,20595
11204,40.61881469580052,-73.98494194229461,0.1561950464973008,0.6254531614663063,3.0,6.0,8.0,0.6912791682997619,,,,0.5596271546328506,,,,,,,,,,76978,57101,16189
11205,40.69658310384596,-73.96805560118267,0.0534629483826945,0.4405669143224843,72.0,101.0,102.0,0.4424978806950843,,0.3793419368125999,,0.8589923632795919,,0.2665235560628286,,0.3837780369384951,,,0.4195270653754523,0.3561688976569201,,46064,34728,12578
11206,40.70186950883839,-73.94255148994004,0.0203496646211133,0.4942618395412101,30.0,50.0,53.0,0.4737538520840928,,0.4961239693369592,,0.5126888117126245,,,,0.3552187356962545,,,0.5302478345682319,0.3857008642099674,,88349,66102,24245
11207,40.67015655096587,-73.89383547826543,0.2839305781803838,1.1197813362450757,4.0,23.0,36.0,1.5532381760876106,,0.4748191283520911,1.6083955885332026,0.8367575235742756,,,,0.8053110799774454,,,,,,91972,72205,25397
11208,40.67484633225868,-73.87248001421885,0.0454600792224871,0.5604496521472476,13.0,20.0,26.0,0.4534487286403856,,0.6134272585651225,1.280128007272722,0.6123876157794204,,,,0.3775604033228956,0.9598604327842272,,,,,98660,74633,25936
11209,40.62180309396976,-74.03014978394451,0.0011557579662103,0.8905075421587775,22.0,30.0,54.0,0.7390556064245944,,,0.4358834419140253,0.5190544346462264,1.5283766288576126,0.96858008778877,,,,,,,,67809,56427,19422
11210,40.6280595541124,-73.9463086584411,0.0622084589932281,0.6225695449497184,22.0,25.0,33.0,0.6001259063883498,,,0.2019188672959578,0.9275820610477084,,,1.482267747779577,,,,,,,67040,51249,16634
11211,40.714257355377605,-73.94601241636488,0.0001050620368281,0.3224597770180432,240.0,305.0,309.0,0.3020940205653569,,1.590883102103578,0.3670051240983364,0.3391391701093213,,,,0.4493831818700639,0.7785707952762047,0.7106357199376756,0.3969094498223323,,,102624,78832,32274
11212,40.66290409771318,-73.91307130656388,0.0373946031365202,0.2270350397621086,7.0,8.0,8.0,0.0373946031365202,,,,0.2541265307086213,,,,,,,,,,76527,61494,17874
11213,40.67116295598365,-73.93628216912553,0.0163172025824538,0.1739271280221097,52.0,55.0,55.0,0.1622267203916756,,0.6820968134781403,,0.2240528836853813,,,,,,,,,,66295,52781,18688
11214,40.59969004727795,-73.99637184118357,0.0169631124495992,0.6554670820028947,12.0,20.0,26.0,0.4211126085279954,,1.5482114437395045,,0.7776399698389177,,,0.91667429911832,0.6573563054873887,,,,,,92946,75156,24725
11215,40.66256788299754,-73.98685088505775,0.0130561784769095,0.7941587439429362,81.0,123.0,202.0,0.7891192402879029,,,,0.8021218397812768,,0.5317693885989412,1.2007291929017938,0.5269898428892469,,1.04300954944845,0.8375172808228234,1.3625400437265245,,70156,56455,27551
11216,40.68085196473236,-73.94922808763565,0.0146149349526311,0.695766081839233,22.0,59.0,72.0,0.7630297700816178,,,0.2445415209558161,0.0747746730105894,,,,,,,0.3581132932386122,,,56308,48699,22563
11217,40.68245328741336,-73.97951532177905,0.0084633334878839,0.3912574722356456,150.0,219.0,219.0,0.3975056258578611,,,,0.3651481599737105,,0.5680267637005806,,0.3672437676666917,,0.141830529631132,0.2883777925013448,,,41407,34559,16401
11218,40.643119937733815,-73.97644588962075,0.0210756357979882,0.5502469075029743,36.0,51.0,60.0,0.6033273250296467,,0.1768958167267437,,0.577622886934792,,0.0210756357979882,,0.2736738994016019,0.2547072970796515,,0.635829045306368,,,74508,55295,20225
11219,40.63261945469368,-73.99676972294985,0.0710485634711675,0.5427023237907509,11.0,16.0,19.0,0.5020687107202044,,0.1239105909780351,,0.6663825347319976,,,,,,,,,,90036,60221,12862
