,ZIPCODE,TOTAL_POP_10PCT,POP_16_OVER_10PCT,COMMUTERS_BY_PUBLIC_TRANSPORTATION_10PCT
0,11201,69105,58538,26723
1,11203,82996,67454,22655
2,11204,84676,62811,17808
3,11205,50670,38201,13836
4,11206,97184,72712,26670
5,11207,101169,79426,27937
6,11208,108526,82096,28530
7,11209,74590,62070,21364
8,11210,73744,56374,18297
9,11211,112886,86715,35501
10,11212,84180,67643,19661
11,11213,72925,58059,20557
12,11214,102241,82672,27198
13,11215,77172,62101,30306
14,11216,61939,53569,24819
15,11217,45548,38015,18041
16,11218,81959,60825,22248
17,11219,99040,66243,14148
18,11220,105207,82321,28945
19,11221,92219,75767,30471
20,11222,40141,35998,16668
21,11223,89968,70008,20805
22,11224,51378,42341,10101
23,11225,64770,54267,24771
24,11226,110305,87913,38297
25,11228,49493,40520,10446
26,11229,91977,74445,20929
27,11230,97983,73376,19800
28,11231,41630,32865,13443
29,11232,30362,24495,10139
30,11233,84501,65742,25599
31,11234,105233,84418,20899
32,11235,85941,71639,18495
33,11236,110364,88548,28919
34,11237,54241,44092,19726
35,11238,59994,51415,24960
36,11239,14568,11988,2999
