,ID,COORDINATES,ZIPCODE,AMENITY,LAT,LON
0,4573394345,"{
  ""coordinates"": [
    -7.398210890000000e+01,
    4.068983680000000e+01
  ],
  ""type"": ""Point""
}",11201,clinic,40.6898368,-73.9821089
1,4092401134,"{
  ""coordinates"": [
    -7.395014840000000e+01,
    4.068055310000000e+01
  ],
  ""type"": ""Point""
}",11216,pharmacy,40.6805531,-73.9501484
2,3315132873,"{
  ""coordinates"": [
    -7.396533320000000e+01,
    4.057655780000000e+01
  ],
  ""type"": ""Point""
}",11235,pharmacy,40.5765578,-73.9653332
3,2550589973,"{
  ""coordinates"": [
    -7.398929540000000e+01,
    4.066584060000000e+01
  ],
  ""type"": ""Point""
}",11215,clinic,40.6658406,-73.9892954
4,6577696352,"{
  ""coordinates"": [
    -7.395554880000000e+01,
    4.067055680000000e+01
  ],
  ""type"": ""Point""
}",11216,clinic,40.6705568,-73.9555488
5,5227300729,"{
  ""coordinates"": [
    -7.398397570000000e+01,
    4.061117570000000e+01
  ],
  ""type"": ""Point""
}",11204,pharmacy,40.6111757,-73.9839757
6,6680357309,"{
  ""coordinates"": [
    -7.398012770000000e+01,
    4.068528540000000e+01
  ],
  ""type"": ""Point""
}",11217,dentist,40.6852854,-73.9801277
7,5905417714,"{
  ""coordinates"": [
    -7.398059130000000e+01,
    4.068574030000000e+01
  ],
  ""type"": ""Point""
}",11217,social_facility,40.6857403,-73.9805913
8,9008487124,"{
  ""coordinates"": [
    -7.396345270000000e+01,
    4.068286880000000e+01
  ],
  ""type"": ""Point""
}",11238,social_facility,40.6828688,-73.9634527
9,9739964878,"{
  ""coordinates"": [
    -7.398506890000000e+01,
    4.066248030000000e+01
  ],
  ""type"": ""Point""
}",11215,doctors,40.6624803,-73.9850689
10,5061941927,"{
  ""coordinates"": [
    -7.399975320000000e+01,
    4.060002770000000e+01
  ],
  ""type"": ""Point""
}",11214,pharmacy,40.6000277,-73.9997532
11,5747307500,"{
  ""coordinates"": [
    -7.394339560000000e+01,
    4.067103270000000e+01
  ],
  ""type"": ""Point""
}",11213,pharmacy,40.6710327,-73.9433956
12,5517079863,"{
  ""coordinates"": [
    -7.397671980000000e+01,
    4.067247380000000e+01
  ],
  ""type"": ""Point""
}",11215,clinic,40.6724738,-73.9767198
13,6127070111,"{
  ""coordinates"": [
    -7.398587550000001e+01,
    4.066875790000000e+01
  ],
  ""type"": ""Point""
}",11215,dentist,40.6687579,-73.9858755
