,ZIPCODE,TOTAL_POP,POP_16_OVER,COMMUTERS_BY_PUBLIC_TRANSPORTATION
0,11210,67040,51249,16634
1,11232,27602,22268,9217
2,11220,95643,74837,26314
3,11203,75451,61322,20595
4,11236,100331,80498,26290
5,11237,49310,40084,17933
6,11239,13244,10898,2726
7,11206,88349,66102,24245
8,11211,102624,78832,32274
9,11235,78128,65126,16814
10,11218,74508,55295,20225
11,11213,66295,52781,18688
12,11222,36492,32725,15153
13,11219,90036,60221,12862
14,11233,76819,59765,23272
15,11212,76527,61494,17874
16,11230,89075,66705,18000
17,11225,58882,49334,22519
18,11217,41407,34559,16401
19,11224,46707,38492,9183
20,11214,92946,75156,24725
21,11228,44994,36836,9496
22,11204,76978,57101,16189
23,11205,46064,34728,12578
24,11238,54540,46741,22691
25,11221,83835,68879,27701
26,11231,37845,29877,12221
27,11223,81789,63644,18914
28,11201,62823,53216,24294
29,11226,100277,79921,34815
30,11208,98660,74633,25936
31,11215,70156,56455,27551
32,11234,95666,76744,18999
33,11216,56308,48699,22563
34,11229,83615,67677,19026
35,11207,91972,72205,25397
36,11209,67809,56427,19422
