ZIPCODE,total_shops,alcohol,bakery,beverages,brewing_supplies,butcher,cheese,chocolate,coffee,confectionery,convenience,deli,farm,greengrocer,health_food,ice_cream,pasta,pastry,seafood,spices,tea,wine,alcohol_prop,bakery_prop,beverages_prop,brewing_supplies_prop,butcher_prop,cheese_prop,chocolate_prop,coffee_prop,confectionery_prop,convenience_prop,deli_prop,farm_prop,greengrocer_prop,health_food_prop,ice_cream_prop,pasta_prop,pastry_prop,seafood_prop,spices_prop,tea_prop,wine_prop
11201,89,14,6,2,0,4,0,0,1,4,39,7,0,2,1,2,0,6,1,0,0,0,0.15730337078651685,0.06741573033707865,0.02247191011235955,0.0,0.0449438202247191,0.0,0.0,0.011235955056179775,0.0449438202247191,0.43820224719101125,0.07865168539325842,0.0,0.02247191011235955,0.011235955056179775,0.02247191011235955,0.0,0.06741573033707865,0.011235955056179775,0.0,0.0,0.0
11203,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11204,33,1,6,1,0,0,0,0,0,0,18,1,0,0,0,0,0,3,2,0,1,0,0.030303030303030304,0.18181818181818182,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.06060606060606061,0.0,0.030303030303030304,0.0
11205,54,11,0,0,0,0,0,0,0,0,38,1,0,1,0,0,1,1,1,0,0,0,0.2037037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.018518518518518517,0.0,0.018518518518518517,0.0,0.0,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.0,0.0,0.0
11206,44,11,4,0,0,1,0,0,0,0,21,4,1,2,0,0,0,0,0,0,0,0,0.25,0.09090909090909091,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.4772727272727273,0.09090909090909091,0.022727272727272728,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11207,19,2,0,0,0,0,0,0,0,0,10,5,0,2,0,0,0,0,0,0,0,0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.2631578947368421,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11208,15,3,0,0,0,1,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11209,39,8,5,0,0,0,0,0,0,0,16,5,0,1,1,0,0,3,0,0,0,0,0.20512820512820512,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41025641025641024,0.1282051282051282,0.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0
11210,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11211,80,16,11,0,0,4,0,2,0,0,33,8,0,1,0,0,0,0,2,0,2,1,0.2,0.1375,0.0,0.0,0.05,0.0,0.025,0.0,0.0,0.4125,0.1,0.0,0.0125,0.0,0.0,0.0,0.0,0.025,0.0,0.025,0.0125
11212,4,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11213,12,4,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0.3333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.4166666666666667,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0
11214,17,4,2,0,0,1,0,0,0,0,6,3,0,1,0,0,0,0,0,0,0,0,0.23529411764705882,0.11764705882352941,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.35294117647058826,0.17647058823529413,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11215,110,15,7,0,0,0,1,0,1,3,55,10,0,1,0,2,1,10,3,0,0,1,0.13636363636363635,0.06363636363636363,0.0,0.0,0.0,0.00909090909090909,0.0,0.00909090909090909,0.02727272727272727,0.5,0.09090909090909091,0.0,0.00909090909090909,0.0,0.01818181818181818,0.00909090909090909,0.09090909090909091,0.02727272727272727,0.0,0.0,0.00909090909090909
11216,68,11,4,0,0,1,0,0,0,0,36,5,0,5,0,0,0,2,4,0,0,0,0.16176470588235295,0.058823529411764705,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.5294117647058824,0.07352941176470588,0.0,0.07352941176470588,0.0,0.0,0.0,0.029411764705882353,0.058823529411764705,0.0,0.0,0.0
11217,77,17,4,0,0,1,0,0,1,0,42,4,0,0,0,2,0,5,1,0,0,0,0.22077922077922077,0.05194805194805195,0.0,0.0,0.012987012987012988,0.0,0.0,0.012987012987012988,0.0,0.5454545454545454,0.05194805194805195,0.0,0.0,0.0,0.025974025974025976,0.0,0.06493506493506493,0.012987012987012988,0.0,0.0,0.0
11218,57,7,0,0,0,1,0,0,0,0,33,3,0,6,0,0,0,7,0,0,0,0,0.12280701754385964,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.5789473684210527,0.05263157894736842,0.0,0.10526315789473684,0.0,0.0,0.0,0.12280701754385964,0.0,0.0,0.0,0.0
11219,13,1,4,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,0,0,0,0.07692307692307693,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.3076923076923077,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11220,67,5,13,0,0,0,0,0,0,0,32,4,0,7,0,0,0,2,3,0,1,0,0.07462686567164178,0.19402985074626866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47761194029850745,0.05970149253731343,0.0,0.1044776119402985,0.0,0.0,0.0,0.029850746268656716,0.04477611940298507,0.0,0.014925373134328358,0.0
11221,40,4,1,0,0,1,0,1,1,0,17,9,0,4,0,0,0,0,1,0,0,1,0.1,0.025,0.0,0.0,0.025,0.0,0.025,0.025,0.0,0.425,0.225,0.0,0.1,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.025
11222,80,14,9,0,0,1,1,1,0,2,37,9,0,4,0,0,0,1,0,0,0,1,0.175,0.1125,0.0,0.0,0.0125,0.0125,0.0125,0.0,0.025,0.4625,0.1125,0.0,0.05,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0125
11223,15,3,3,0,0,2,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.4,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11224,12,5,0,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11225,40,6,0,1,0,0,0,0,0,0,26,2,0,4,0,0,0,0,1,0,0,0,0.15,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0
11226,22,4,1,0,0,0,0,0,0,0,13,2,0,1,0,0,0,0,1,0,0,0,0.18181818181818182,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5909090909090909,0.09090909090909091,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0
11228,14,1,4,0,0,0,0,0,0,0,2,6,0,0,0,0,0,1,0,0,0,0,0.07142857142857142,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
11229,7,2,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11230,6,1,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11231,65,12,5,0,0,1,0,1,0,2,24,8,0,1,1,1,0,8,1,0,0,0,0.18461538461538463,0.07692307692307693,0.0,0.0,0.015384615384615385,0.0,0.015384615384615385,0.0,0.03076923076923077,0.36923076923076925,0.12307692307692308,0.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.0,0.12307692307692308,0.015384615384615385,0.0,0.0,0.0
11232,52,5,0,0,0,0,0,0,0,0,39,1,0,3,0,0,0,4,0,0,0,0,0.09615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.019230769230769232,0.0,0.057692307692307696,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0
11233,20,1,0,0,0,0,0,0,0,0,6,11,0,1,0,0,0,1,0,0,0,0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.55,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
11234,9,1,1,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
