ZIPCODE,total_amenities,bar,biergarten,cafe,fast_food,food_court,ice_cream,pub,restaurant,bar_prop,biergarten_prop,cafe_prop,fast_food_prop,food_court_prop,ice_cream_prop,pub_prop,restaurant_prop
11201.0,314,24,0,64,105,2,4,9,106,0.07643312101910828,0.0,0.20382165605095542,0.3343949044585987,0.006369426751592357,0.012738853503184714,0.028662420382165606,0.3375796178343949
11203.0,8,0,0,0,7,0,0,0,1,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.125
11204.0,36,0,0,3,11,0,3,0,19,0.0,0.0,0.08333333333333333,0.3055555555555556,0.0,0.08333333333333333,0.0,0.5277777777777778
11205.0,117,12,0,22,35,0,0,3,45,0.10256410256410256,0.0,0.18803418803418803,0.29914529914529914,0.0,0.0,0.02564102564102564,0.38461538461538464
11206.0,88,17,0,19,16,0,0,5,31,0.19318181818181818,0.0,0.2159090909090909,0.18181818181818182,0.0,0.0,0.056818181818181816,0.3522727272727273
11207.0,19,2,0,3,5,0,0,1,8,0.10526315789473684,0.0,0.15789473684210525,0.2631578947368421,0.0,0.0,0.05263157894736842,0.42105263157894735
11208.0,13,0,0,0,3,0,0,0,10,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.7692307692307693
11209.0,100,4,0,15,21,0,1,5,54,0.04,0.0,0.15,0.21,0.0,0.01,0.05,0.54
11210.0,3,0,0,1,1,0,0,0,1,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
11211.0,218,40,1,31,24,0,0,9,113,0.1834862385321101,0.0045871559633027525,0.14220183486238533,0.11009174311926606,0.0,0.0,0.04128440366972477,0.518348623853211
11212.0,5,1,0,2,2,0,0,0,0,0.2,0.0,0.4,0.4,0.0,0.0,0.0,0.0
11213.0,9,0,0,2,4,0,0,0,3,0.0,0.0,0.2222222222222222,0.4444444444444444,0.0,0.0,0.0,0.3333333333333333
11214.0,53,0,0,9,9,0,2,0,33,0.0,0.0,0.16981132075471697,0.16981132075471697,0.0,0.03773584905660377,0.0,0.6226415094339622
11215.0,326,30,0,74,87,0,7,15,113,0.09202453987730061,0.0,0.22699386503067484,0.2668711656441718,0.0,0.02147239263803681,0.046012269938650305,0.34662576687116564
11216.0,139,20,0,31,47,0,0,4,37,0.14388489208633093,0.0,0.22302158273381295,0.3381294964028777,0.0,0.0,0.02877697841726619,0.26618705035971224
11217.0,196,19,0,35,53,0,3,10,76,0.09693877551020408,0.0,0.17857142857142858,0.27040816326530615,0.0,0.015306122448979591,0.05102040816326531,0.3877551020408163
11218.0,92,5,0,15,31,0,3,3,35,0.05434782608695652,0.0,0.16304347826086957,0.33695652173913043,0.0,0.03260869565217391,0.03260869565217391,0.3804347826086957
11219.0,18,0,0,4,2,0,0,0,12,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.6666666666666666
11220.0,98,3,0,14,27,0,2,3,49,0.030612244897959183,0.0,0.14285714285714285,0.2755102040816326,0.0,0.02040816326530612,0.030612244897959183,0.5
11221.0,79,16,0,20,13,0,0,0,30,0.20253164556962025,0.0,0.25316455696202533,0.16455696202531644,0.0,0.0,0.0,0.379746835443038
11222.0,138,31,0,26,14,0,1,4,62,0.2246376811594203,0.0,0.18840579710144928,0.10144927536231885,0.0,0.007246376811594203,0.028985507246376812,0.4492753623188406
11223.0,20,0,0,2,4,0,1,1,12,0.0,0.0,0.1,0.2,0.0,0.05,0.05,0.6
11224.0,27,1,0,3,12,0,1,0,10,0.037037037037037035,0.0,0.1111111111111111,0.4444444444444444,0.0,0.037037037037037035,0.0,0.37037037037037035
