ZIPCODE,total_amenities,bicycle_parking,bicycle_rental,bicycle_repair_station,bus_station,car_rental,car_sharing,car_wash,charging_station,fuel,parking,parking_entrance,parking_space,taxi,bicycle_parking_prop,bicycle_rental_prop,bicycle_repair_station_prop,bus_station_prop,car_rental_prop,car_sharing_prop,car_wash_prop,charging_station_prop,fuel_prop,parking_prop,parking_entrance_prop,parking_space_prop,taxi_prop
11201,336,282,35,0,1,1,0,0,1,0,3,13,0,0,0.8392857142857143,0.10416666666666667,0.0,0.002976190476190476,0.002976190476190476,0.0,0.0,0.002976190476190476,0.0,0.008928571428571428,0.03869047619047619,0.0,0.0
11203,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
11204,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11205,100,71,23,1,0,0,0,0,0,1,0,3,0,1,0.71,0.23,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.01
11206,44,21,18,1,0,0,0,0,0,2,0,2,0,0,0.4772727272727273,0.4090909090909091,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0
11207,24,14,0,0,0,0,0,0,0,1,1,8,0,0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.3333333333333333,0.0,0.0
11208,19,9,0,0,0,0,0,1,0,4,1,4,0,0,0.47368421052631576,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.21052631578947367,0.05263157894736842,0.21052631578947367,0.0,0.0
11209,51,37,0,0,0,0,0,0,0,0,1,0,11,2,0.7254901960784313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.21568627450980393,0.0392156862745098
11210,31,28,0,0,0,1,0,0,0,0,2,0,0,0,0.9032258064516129,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0
11211,197,173,22,0,0,0,0,1,0,0,0,1,0,0,0.8781725888324873,0.1116751269035533,0.0,0.0,0.0,0.0,0.005076142131979695,0.0,0.0,0.0,0.005076142131979695,0.0,0.0
11212,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11213,53,52,0,0,0,0,0,0,0,1,0,0,0,0,0.9811320754716981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.0
11214,20,13,0,0,0,2,0,0,0,2,0,3,0,0,0.65,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.15,0.0,0.0
11215,195,172,7,1,0,2,0,0,5,0,0,4,0,4,0.882051282051282,0.035897435897435895,0.005128205128205128,0.0,0.010256410256410256,0.0,0.0,0.02564102564102564,0.0,0.0,0.020512820512820513,0.0,0.020512820512820513
11216,70,62,6,0,0,0,0,0,0,0,2,0,0,0,0.8857142857142857,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0
11217,211,196,8,0,0,0,0,0,1,0,0,5,0,1,0.9289099526066351,0.037914691943127965,0.0,0.0,0.0,0.0,0.0,0.004739336492890996,0.0,0.0,0.023696682464454975,0.0,0.004739336492890996
11218,57,41,7,0,0,0,0,1,0,1,0,6,0,1,0.7192982456140351,0.12280701754385964,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.017543859649122806,0.0,0.10526315789473684,0.0,0.017543859649122806
11219,12,11,0,0,0,0,0,0,0,1,0,0,0,0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0
11220,37,30,1,0,0,0,0,0,0,3,0,0,0,3,0.8108108108108109,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.08108108108108109,0.0,0.0,0.0,0.08108108108108109
11221,28,21,5,0,0,0,0,1,0,0,1,0,0,0,0.75,0.17857142857142858,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.03571428571428571,0.0,0.0,0.0
11222,130,106,20,0,0,1,0,1,0,2,0,0,0,0,0.8153846153846154,0.15384615384615385,0.0,0.0,0.007692307692307693,0.0,0.007692307692307693,0.0,0.015384615384615385,0.0,0.0,0.0,0.0
11223,50,31,0,0,0,0,0,1,0,1,2,14,0,1,0.62,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.04,0.28,0.0,0.02
11224,20,13,0,0,0,0,0,1,2,3,1,0,0,0,0.65,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.15,0.05,0.0,0.0,0.0
11225,20,19,1,0,0,0,0,0,0,0,0,0,0,0,0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11226,34,33,0,0,0,0,0,0,0,0,0,0,0,1,0.9705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353
11228,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11229,38,33,0,0,0,0,1,0,0,2,2,0,0,0,0.868421052631579,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0
11230,51,47,0,0,0,0,0,0,0,1,1,2,0,0,0.9215686274509803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0,0.0
11231,184,156,16,1,0,1,0,0,1,1,0,8,0,0,0.8478260869565217,0.08695652173913043,0.005434782608695652,0.0,0.005434782608695652,0.0,0.0,0.005434782608695652,0.005434782608695652,0.0,0.043478260869565216,0.0,0.0
11232,46,39,2,0,0,0,0,1,0,1,0,1,0,2,0.8478260869565217,0.043478260869565216,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.021739130434782608,0.0,0.021739130434782608,0.0,0.043478260869565216
11233,16,10,1,0,0,0,0,0,0,2,3,0,0,0,0.625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.1875,0.0,0.0,0.0
